ALL,Big,1,2,3,4,5,res,index,new_class_symbol
购物服务;花鸟鱼虫市场;花卉市场,购物服务,花鸟鱼虫市场,花卉市场,,,,购物消费,289,3
商务住宅;楼宇;商住两用楼宇,商务住宅,楼宇,商住两用楼宇,,,,商务住宅,290,11
公司企业;公司企业;公司企业|购物服务;购物相关场所;购物相关场所,公司企业,公司企业,公司企业|购物服务,购物相关场所,购物相关场所,,公司企业,291,5
生活服务;事务所;评估事务所|政府机构及社会团体;政府机关;国家级机关及事业单位,生活服务,事务所,评估事务所|政府机构及社会团体,政府机关,国家级机关及事业单位,,生活服务,292,13
住宿服务;旅馆招待所;旅馆招待所|餐饮服务;中餐厅;中餐厅|住宿服务;宾馆酒,住宿服务,旅馆招待所,旅馆招待所|餐饮服务,中餐厅,中餐厅|住宿服务,宾馆酒,酒店住宿,293,2
公司企业;公司;建筑公司|公司企业;公司;冶金化工,公司企业,公司,建筑公司|公司企业,公司,冶金化工,,公司企业,294,5
商务住宅;住宅区;住宅小区|住宿服务;住宿服务相关;住宿服务相关,商务住宅,住宅区,住宅小区|住宿服务,住宿服务相关,住宿服务相关,,商务住宅,295,11
公司企业;公司;医药公司|公司企业;工厂;工厂,公司企业,公司,医药公司|公司企业,工厂,工厂,,公司企业,296,5
医疗保健服务;综合医院;综合医院,医疗保健服务,综合医院,综合医院,,,,医疗保健,297,0
购物服务;家居建材市场;家具城|公司企业;公司;公司,购物服务,家居建材市场,家具城|公司企业,公司,公司,,购物消费,298,3
住宿服务;宾馆酒店;四星级宾馆|商务住宅;楼宇;商务写字楼,住宿服务,宾馆酒店,四星级宾馆|商务住宅,楼宇,商务写字楼,,酒店住宿,299,2
风景名胜;风景名胜;纪念馆,风景名胜,风景名胜,纪念馆,,,,旅游景点,300,12
政府机构及社会团体;政府机关;省直辖市级政府及事业单位,政府机构及社会团体,政府机关,省直辖市级政府及事业单位,,,,政府机构,301,14
政府机构及社会团体;政府机关;国家级机关及事业单位,政府机构及社会团体,政府机关,国家级机关及事业单位,,,,政府机构,302,14
政府机构及社会团体;政府机关;乡镇级政府及事业单位|政府机构及社会团体,政府机构及社会团体,政府机关,乡镇级政府及事业单位|政府机构及社会团体,,,,政府机构,303,14
购物服务;家居建材市场;家具城|公司企业;公司;广告装饰,购物服务,家居建材市场,家具城|公司企业,公司,广告装饰,,购物消费,304,3
科教文化服务;学校;幼儿园|生活服务;生活服务场所;生活服务场所,科教文化服务,学校,幼儿园|生活服务,生活服务场所,生活服务场所,,科教文化,305,7
科教文化服务;传媒机构;报社,科教文化服务,传媒机构,报社,,,,科教文化,306,7
公司企业;农林牧渔基地;其它农林牧渔基地,公司企业,农林牧渔基地,其它农林牧渔基地,,,,公司企业,307,5
公司企业;公司;机械电子,公司企业,公司,机械电子,,,,公司企业,308,5
公司企业;公司;网络科技,公司企业,公司,网络科技,,,,公司企业,309,5
商务住宅;楼宇;商务写字楼|商务住宅;楼宇;商住两用楼宇,商务住宅,楼宇,商务写字楼|商务住宅,楼宇,商住两用楼宇,,商务住宅,310,11
商务住宅;住宅区;住宅小区|住宿服务;宾馆酒店;宾馆酒店,商务住宅,住宅区,住宅小区|住宿服务,宾馆酒店,宾馆酒店,,商务住宅,311,11
医疗保健服务;专科医院;骨科医院|医疗保健服务;综合医院;综合医院,医疗保健服务,专科医院,骨科医院|医疗保健服务,综合医院,综合医院,,医疗保健,312,0
购物服务;家居建材市场;家具建材综合市场|购物服务;家居建材市场;建材五金,购物服务,家居建材市场,家具建材综合市场|购物服务,家居建材市场,建材五金,,购物消费,313,3
公司企业;公司;公司|汽车销售;梅赛德斯-奔驰特约销售;梅赛德斯-奔驰销售,公司企业,公司,公司|汽车销售,梅赛德斯-奔驰特约销售,梅赛德斯-奔驰销售,,公司企业,314,5
购物服务;家居建材市场;建材五金市场|公司企业;公司;公司,购物服务,家居建材市场,建材五金市场|公司企业,公司,公司,,购物消费,315,3
公司企业;公司;公司|政府机构及社会团体;社会团体;社会团体相关,公司企业,公司,公司|政府机构及社会团体,社会团体,社会团体相关,,公司企业,316,5
医疗保健服务;专科医院;妇科医院,医疗保健服务,专科医院,妇科医院,,,,医疗保健,317,0
科教文化服务;学校;中学|科教文化服务;学校;职业技术学校|科教文化服务,科教文化服务,学校,中学|科教文化服务,学校,职业技术学校|科教文化服务,学,科教文化,318,7
医疗保健服务;专科医院;骨科医院,医疗保健服务,专科医院,骨科医院,,,,医疗保健,319,0
科教文化服务;学校;小学|科教文化服务;学校;幼儿园,科教文化服务,学校,小学|科教文化服务,学校,幼儿园,,科教文化,320,7
商务住宅;住宅区;住宅小区|住宿服务;旅馆招待所;旅馆招待所,商务住宅,住宅区,住宅小区|住宿服务,旅馆招待所,旅馆招待所,,商务住宅,321,11
体育休闲服务;运动场馆;运动场所|公司企业;公司;公司,体育休闲服务,运动场馆,运动场所|公司企业,公司,公司,,运动健身,322,6
住宿服务;宾馆酒店;四星级宾馆|科教文化服务;会展中心;会展中心,住宿服务,宾馆酒店,四星级宾馆|科教文化服务,会展中心,会展中心,,酒店住宿,323,2
医疗保健服务;专科医院;脑科医院,医疗保健服务,专科医院,脑科医院,,,,医疗保健,324,0
商务住宅;楼宇;商务写字楼|公司企业;公司;公司,商务住宅,楼宇,商务写字楼|公司企业,公司,公司,,商务住宅,325,11
体育休闲服务;度假疗养场所;度假村|住宿服务;宾馆酒店;三星级宾馆,体育休闲服务,度假疗养场所,度假村|住宿服务,宾馆酒店,三星级宾馆,,运动健身,326,6
